depth,seed,train_rmse,val_rmse,test_rmse,test_mae,test_pearson,test_spearman,test_kge,test_nse,test_fft_cosine,fft_metric_source,test_amplitude_ratio,total_parameter_count,encoding_parameter_count,mean_strength,mean_abs_strength_minus_1,min_strength,max_strength,mean_polar_shift_rad,mean_abs_polar_shift_rad,mean_phase_shift_rad,mean_abs_phase_shift_rad,max_abs_phase_shift_rad,min_adjacent_phase_gap_rad,max_adjacent_phase_gap_rad
3,42,30.815730489358227,47.82361289327297,56.335128744630666,46.63843651242936,0.5685160133176161,0.5885755753680282,0.43103560359471715,0.3160104952441366,0.9706495925841224,saved,0.631827501338354,249,108,0.6709789123698324,0.3690005268374428,0.285411443141281,1.250439745270613,0.10078497568617945,0.2919700949980493,-0.01328116599894244,0.10376608515140225,0.21365180055339475,0.20309678640233386,0.8647275182555623
3,43,28.27193630496053,44.44320539873808,57.66611621566949,47.23662067538724,0.5778404299978356,0.6054530375285092,0.5185173551342613,0.28330848750111604,0.9605666704554622,saved,0.7812410586311723,249,108,0.6445067839221216,0.42095260827097614,0.1194106509949795,1.4128999398625681,0.017685257201771963,0.3598413145786524,0.015006759081403238,0.12633331430794384,0.22916110824184696,0.1649879155496743,0.8863060449267349
3,44,36.54792925326179,50.43516892406696,56.72287801391531,46.097931306261856,0.5610298220058104,0.6176342525399129,0.4371324871172596,0.3065624238122827,0.9629618714919476,saved,0.6482103480364779,249,108,0.6684415952771492,0.36440834205254363,0.19796042736037,1.5127642152190015,0.07620844521246331,0.3088264934301886,0.01316322108983544,0.07733139330469503,0.208636237952202,0.23861471483577046,0.7321089531278124
3,45,31.035906280781376,46.89343757645974,53.039957674126015,45.13785866667348,0.6297726983276126,0.6591540534936762,0.5110365303024379,0.3936865628169717,0.9736942115943278,saved,0.6809044266709439,249,108,0.6723720234685775,0.3858674580390653,0.14723651711308383,1.3753758874664554,0.06202650979165295,0.2689035420482807,0.014073579136566962,0.1215853415355781,0.20826805803725187,0.2077113856754198,0.9131098151437018
3,46,32.857744934282174,45.05271315838798,55.031580444230144,45.128476842351745,0.5944963318168875,0.6290483101803857,0.47636402020425295,0.3472981758839496,0.9696189337808055,saved,0.6692112793093589,249,108,0.6781312563965659,0.33909267394317444,0.2567821783329439,1.17931347227966,0.0658812597462736,0.29717987252781797,0.019355109525006926,0.06648809925193704,0.18000028805007995,0.3214016407238327,0.7372369867852786
4,42,24.10030765421142,45.71670590434049,56.68193941130518,46.02590940353789,0.5629431877634155,0.5887829151980096,0.4457811210202518,0.3075630120050076,0.9648919330435992,saved,0.6592655463361564,327,144,0.7001124456053885,0.4045449342388688,0.15810895624428012,1.6309731057864876,-0.01944350599197932,0.31929570642811,0.009003561825801818,0.12470752467482897,0.23257598586584263,0.17033910690527865,0.8933558982339531
4,43,33.68660510155677,45.75058241007653,56.26706166979066,46.16607244442357,0.5857679589757284,0.6111237818784988,0.46989822089010935,0.3176623611202033,0.969576231985827,saved,0.6843984621123435,327,144,0.666860104842338,0.34574327169124003,0.3663884143662163,1.1811362038054285,0.11626547680962217,0.2863694526698365,0.00513923869100935,0.07384116505272402,0.18884697335322034,0.23467442226662705,0.8305929140675883
4,44,22.638447315382674,46.89449002033345,57.71374537269671,47.469908841333904,0.5471663992829224,0.5938316400580551,0.4404600391510948,0.2821241001398318,0.9651626545078136,saved,0.6727487206570911,327,144,0.7051683968142765,0.3758978742679963,0.15585045670334452,1.5632167228924265,0.019171159202826586,0.2592544345817232,-0.014298625480912985,0.115257326653378,0.21656588629675144,0.18434608387379559,0.8839550544715827
4,45,27.472523963097355,45.67430071734691,54.07353785495993,44.937817890670026,0.6148658870408403,0.6387621812150114,0.5062874182240107,0.3698260803589195,0.972148048961104,saved,0.6932155667176495,327,144,0.6653233687185168,0.3618167220661092,0.18420537537814474,1.269566203189986,0.05075756717426718,0.23832904817799458,-0.0039941234135041255,0.07932990640140444,0.2453580641318439,0.05600479447264384,0.7956846382944838
4,46,33.79810280496725,47.90271399236085,55.37655103791711,46.32146425080498,0.5937695483280393,0.6337963922869584,0.4831509402351576,0.3390894832979032,0.9612698955003476,saved,0.6854409120428577,327,144,0.7120883288999217,0.3105210675198585,0.3514974145843722,1.2127163550763589,0.027127713518098007,0.24553224814400285,-0.015194580734006475,0.0647893898324269,0.15586598232313598,0.27494129264642275,0.746380527178379
