depth,seed,layer,mean_strength,std_strength,mean_abs_strength_minus_1,mean_polar_shift_rad,mean_abs_polar_shift_rad,mean_phase_shift_rad,mean_abs_phase_shift_rad,max_abs_phase_shift_rad,min_adjacent_phase_gap_rad,max_adjacent_phase_gap_rad,mean_adjacent_phase_gap_rad
3,44,2,0.7358890918789011,0.20993410059084402,0.27374251549307965,0.00034965316586466993,0.43523171352679874,0.04484474639115876,0.07138798365540598,0.208636237952202,0.23861471483577046,0.7321089531278124,0.5235987755982988
3,44,3,0.6986285267649771,0.2993952489961434,0.3902896778521206,0.1359723675098072,0.28966713343128964,0.015272660452874495,0.0699077907486581,0.14071613750254539,0.35475072203008606,0.6913195890957669,0.5235987755982988
3,45,1,0.5658988760255937,0.3106289067004858,0.47926725724961744,0.22227634647495295,0.26525532615278596,-0.01671249967273005,0.12383628411078888,0.19845650102712453,0.2077113856754198,0.9131098151437018,0.5235987755982988
3,45,2,0.8345454246112313,0.33271688921669956,0.29500688663648567,-0.10262956709388833,0.37021035740048097,0.011303591945602105,0.1159448202246026,0.20826805803725187,0.3553154326270267,0.7813578629919915,0.5235987755982988
3,45,3,0.616671769768907,0.2224837959901226,0.38332823023109297,0.06643274999389427,0.17124494259157533,0.04762964513682883,0.12497492027134283,0.1982805898906809,0.24392254901195987,0.845398802966753,0.5235987755982988
3,46,1,0.7206543645844823,0.2550473472482557,0.31811935447152245,-0.06995495567098671,0.24751064472281495,0.03199352611606155,0.07812109993456662,0.18000028805007995,0.3214016407238327,0.6987645951132828,0.5235987755982988
3,46,2,0.7983701690113728,0.17921355274811732,0.2145279029518432,0.2951838801374909,0.43630742432442354,0.02994378961791377,0.07709478137826166,0.17631342537973618,0.3721834773531274,0.7372369867852786,0.5235987755982988
3,46,3,0.5153692355938422,0.14983424475878146,0.4846307644061578,-0.027585145227683388,0.2077215485362153,-0.003871987158954536,0.04424841644298282,0.10698966952046875,0.3270269324781605,0.6533861680711279,0.5235987755982988
4,42,1,0.5853450865352005,0.35523382270256104,0.46663673746963363,-0.11770342527248416,0.32992285515140124,-0.0021085712971879375,0.11652894471308685,0.21950531224591407,0.23729377900623572,0.83262776766064,0.5235987755982989
4,42,2,0.7357544294296295,0.2817948934194407,0.3213202337543866,-0.020630601926281744,0.34496782436742546,0.014900742898969468,0.10694501835959114,0.2159447554401547,0.2338471305018821,0.7755890589835638,0.5235987755982988
