depth,seed,model4_test_rmse,model5_test_rmse,rmse_improvement_model5,model4_pearson,model5_pearson,pearson_change_model5,model4_kge,model5_kge,kge_change_model5,model4_fft,model5_fft,fft_change_model5,model4_amplitude_ratio,model5_amplitude_ratio,amplitude_ratio_change_model5,model5_lower_rmse
5,42,55.426304472864246,57.6890113864277,-2.2627069135634557,0.5827470371412355,0.5484959503567975,-0.034251086784438,0.38967701963291945,0.4367333350012249,0.04705631536830546,0.9740954067175766,0.9698196474964772,-0.004275759221099351,0.5552415715868941,0.6670143606204966,0.11177278903360244,False
5,43,56.35457826776827,56.95613834713835,-0.6015600793700813,0.5716868180157895,0.5515452970790736,-0.02014152093671584,0.3269470771037384,0.3708976588161593,0.043950581712420944,0.973179301674703,0.9679539893091532,-0.005225312365549795,0.48286565454501923,0.5611123047616087,0.07824665021658944,False
5,44,57.82661831225481,55.9380664974258,1.8885518148290075,0.5311407747257807,0.5707009241507117,0.039560149424931024,0.37211831826967,0.39148811103114634,0.019369792761476323,0.975176940087618,0.9786972898637086,0.0035203497760906144,0.5824991405613487,0.5687916611554845,-0.013707479405864142,True
5,45,53.61545076095728,54.40398372426211,-0.7885329633048315,0.6193832817517356,0.606028433656543,-0.013354848095192606,0.45055489974721663,0.39803381474950794,-0.05252108499770869,0.9717004599835596,0.9734941143947536,0.0017936544111940567,0.6061112515816344,0.545932284434486,-0.06017896714714832,False
5,46,54.15100182685432,54.603764239370506,-0.45276241251618643,0.6136406287902697,0.6109782768727926,-0.0026623519174771015,0.46983531323369865,0.4331820716736261,-0.03665324156007255,0.9698474926569284,0.9710759306187128,0.001228437961784401,0.6435797851880708,0.5998619438027082,-0.04371784138536261,False
6,42,57.173484614985725,54.848325400562665,2.32515921442306,0.5501871884343489,0.5938888893652313,0.04370170093088244,0.41910630789063197,0.44522174985361984,0.026115441962987873,0.9728109818701608,0.9716061490929802,-0.0012048327771806422,0.63276038383545,0.6222571673260974,-0.010503216509352598,True
6,43,57.813631115669246,58.19351277721648,-0.37988166154723757,0.530945487808189,0.5214507796966341,-0.00949470811155484,0.3618637165011884,0.30823037760250316,-0.05363333889868527,0.974633726182096,0.970127129366741,-0.004506596815355035,0.5679728711356486,0.5013182617825342,-0.0666546093531144,False
6,44,53.706679518553315,56.70953806698087,-3.002858548427554,0.6176046034122211,0.5781902993557227,-0.03941430405649837,0.4725444839935269,0.49530760944781393,0.022763125454287048,0.9705244794916212,0.9760751893501376,0.005550709858516356,0.6389713322676642,0.7284038054229476,0.08943247315528335,False
6,45,54.97412756943753,56.504808298856055,-1.5306807294185276,0.5929310753680431,0.5595814628933675,-0.033349612474675605,0.4097024579571069,0.3959939123070316,-0.013708545650075288,0.9733557289648934,0.9692805552243242,-0.0040751737405692046,0.5743861545169167,0.587027138200995,0.012640983684078289,False
6,46,54.84651266121287,56.02679118598671,-1.1802785247738399,0.6104945999512597,0.5689019524736755,-0.04159264747758418,0.3536579434564876,0.3966268493503282,0.042968905893840614,0.966897643370482,0.967379588220492,0.00048194485000996323,0.4878331646013945,0.5779135998957247,0.09008043529433019,False
