encoding_order,encoding,encoding_label,depth,n_seeds,variational_parameter_count,encoding_parameter_count,total_parameter_count,train_rmse_original_mean,train_rmse_original_std,val_rmse_original_mean,val_rmse_original_std,test_rmse_original_mean,test_rmse_original_std,test_mae_original_mean,test_mae_original_std,test_pearson_corr_mean,test_pearson_corr_std,test_spearman_corr_mean,test_spearman_corr_std,test_kge_mean,test_kge_std,test_nse_mean,test_nse_std,test_bias_mean,test_bias_std,test_pred_std_over_true_std_mean,test_pred_std_over_true_std_std,test_fft_spectral_cosine_similarity_mean,test_fft_spectral_cosine_similarity_std,test_abs_12_step_band_error_mean,test_abs_12_step_band_error_std,test_signed_12_step_band_error_mean,test_signed_12_step_band_error_std,test_12_step_power_ratio_mean,test_12_step_power_ratio_std,test_abs_short_period_2_to_6_error_mean,test_abs_short_period_2_to_6_error_std,test_signed_short_period_2_to_6_error_mean,test_signed_short_period_2_to_6_error_std,test_short_period_2_to_6_power_ratio_mean,test_short_period_2_to_6_power_ratio_std,elapsed_time_min_mean,elapsed_time_min_std,max_rss_gb_python_mean,max_rss_gb_python_std
4,learnable_seasonal_cdf,Learnable seasonal CDF,3,5,126,72,213,31.556150128541372,6.758910507582323,47.00189386175716,3.526246600683806,55.82447814882588,1.142775438236371,45.78422683542064,0.6994445282058427,0.5846392140232655,0.015548778818235775,0.6169624714907733,0.010137066192836917,0.46402127247225494,0.04492399239277526,0.3281291947221838,0.027493308777829607,0.6791596389344634,3.2583752574713873,0.6678896444418797,0.0763908669625479,0.9677652833756692,0.005450515041896332,0.19547028686620463,0.08924210766717132,0.19547028686620466,0.08924210766717133,1.4833258481640241,0.22066278241922463,0.08103773944490468,0.0606123675811933,-0.0810377394449047,0.060612367581193316,0.7487060995292383,0.18795586316423724,114.0950836666425,1.60376843452674,2.579438018798828,0.04291724437321788
4,learnable_seasonal_cdf,Learnable seasonal CDF,4,5,168,96,279,31.86133279844479,2.6377279263012676,46.463284031278214,1.13370391348597,54.31331304420585,1.5903945863361568,45.12747499324314,1.7072841783247166,0.6116614127236846,0.021108357373260712,0.6485755753680281,0.025570225617897863,0.48519228141588444,0.01519056343996705,0.3637888968302534,0.037463333414128934,2.941165805934078,4.752802096644798,0.6686601395391234,0.02892662125326009,0.9664797721679989,0.003893210232249146,0.24131819304620442,0.044354481829799286,0.24131819304620444,0.04435448182979927,1.596690792249673,0.10967225706757756,0.13760318399463448,0.01580929528522305,-0.1376031839946345,0.01580929528522306,0.5732995384611292,0.04902381906418686,151.83993478616077,1.0165206272372385,3.2937271118164064,0.08109253562005819
4,learnable_seasonal_cdf,Learnable seasonal CDF,5,5,210,120,345,31.473564778560096,2.3876938991177834,47.78293948511765,2.5072790808450347,55.47479072813978,1.6968376606182243,46.223684876768196,1.912725040653926,0.5837197080849623,0.03562805337058667,0.6231183910429193,0.04041891295442646,0.40182652559744864,0.05838828976679942,0.336246018567795,0.04073424434644142,-0.9387156338124077,4.056431815441088,0.5740594806925935,0.06041945928985152,0.9727999202240772,0.0020855503069528887,0.16671049009652655,0.05067197900069314,0.1667104900965266,0.050671979000693174,1.4122134894031035,0.12529309503404615,0.07256185818842517,0.03200374985362196,-0.0725618581884252,0.03200374985362195,0.7749893753888253,0.099241997438428,187.7315260664622,5.934867138625827,3.9972557067871093,0.0834524153701852
4,learnable_seasonal_cdf,Learnable seasonal CDF,6,5,252,144,411,31.12695839183177,2.103832282451232,47.93940367125841,2.935879438170749,55.70288709597173,1.7224408329304466,46.30641019000011,1.8019028420003527,0.5804325909948123,0.03809676088309019,0.6268795355587808,0.029945877635372868,0.4033749819597883,0.048132371272220406,0.3307654630971967,0.04147115790205023,-1.1839553372085834,3.5626358686464785,0.5803847812714148,0.0610971122189388,0.9716445119758508,0.00304185599145912,0.1419119446362275,0.07631682629224674,0.1419119446362275,0.07631682629224672,1.350895842562808,0.18870333383269786,0.07094338548863,0.05244389241828297,-0.07094338548863001,0.05244389241828297,0.7800081767562237,0.16262583793590707,227.3480590526263,11.108855483719925,4.644788360595703,0.07682800234251959
5,learnable_seasonal_cdf_rz,Learnable polar-azimuth seasonal CDF,1,5,42,36,93,39.39566090470496,0.5474311243576889,46.929414347276996,2.4976234796976504,55.430215351769405,1.329662387581822,45.03218693661175,0.49896871584489066,0.5992543807843737,0.019640146157223076,0.6352622848849264,0.017885074423747635,0.5154904029062137,0.014760555330692248,0.3375030780169618,0.031285204490113794,2.9566910754668294,2.4368503056139295,0.7323850197873073,0.027072369208412807,0.9620185274354321,0.0036196763684678444,0.2848323341798749,0.022375844130713758,0.2848323341798749,0.02237584413071375,1.7042851970450978,0.055327200958505504,0.1321925146915808,0.020909976824119388,-0.13219251469158083,0.020909976824119436,0.5900777482512255,0.06484077259409027,48.50072198311487,2.8783382623947764,1.1739356994628907,0.0549500470582726
5,learnable_seasonal_cdf_rz,Learnable polar-azimuth seasonal CDF,2,5,84,72,171,34.44909577706475,1.0518332312843406,45.46963906948118,2.0191375868396397,53.92398613236912,2.0953380227197083,44.05142100992627,2.1611664545071054,0.6124980473966064,0.03969380070872728,0.6518826456562306,0.032577611068995066,0.4730512170973335,0.0472565280379973,0.3725500285822131,0.049252865506331615,-1.1491767726881226,2.6028176730607715,0.6450661369286176,0.0380628925207637,0.9671357567762584,0.004337291951391274,0.21469840998437423,0.03951466536202439,0.21469840998437428,0.039514665362024394,1.5308698972554993,0.09770517789279408,0.09174675321654739,0.02670413406947387,-0.09174675321654743,0.026704134069473886,0.7154979935368344,0.0828081589513561,93.21209593772889,1.5103078286557357,1.787060546875,0.10539481164672738
5,learnable_seasonal_cdf_rz,Learnable polar-azimuth seasonal CDF,3,5,126,108,249,31.90584945252882,3.0661659741670593,46.92962759018515,2.3871762912064773,55.75913221851433,1.7902798460555336,46.04786480062073,0.9270662750309716,0.5863310590931525,0.02731056084465563,0.6199730458221024,0.0265500166248062,0.47481719927058574,0.040499697122045084,0.3293732290516913,0.04265666572631626,1.4288234822013974,3.677760991304853,0.6822789227972614,0.058464028659067406,0.9674982559813332,0.005510075426195551,0.18955194691078964,0.06619970194774531,0.18955194691078966,0.06619970194774533,1.468691978615186,0.16368742075873774,0.07686907492999842,0.04923978846954977,-0.07686907492999842,0.04923978846954977,0.7616329157617796,0.15269007486667246,135.19287570238114,5.540846660899076,2.3479682922363283,0.2605403750709468
5,learnable_seasonal_cdf_rz,Learnable polar-azimuth seasonal CDF,4,5,168,144,327,28.3391973678431,5.234794121966448,46.387758608891644,0.9895951117595374,56.022567069333924,1.3757439024128921,46.184234566154075,0.9014906512155952,0.5809025962781893,0.02647360322360797,0.6132593821273067,0.022656439102816426,0.46911554790412485,0.027133864532449172,0.32325300738437307,0.03312424862331942,2.8844696262298553,4.239203007069408,0.6790138415732196,0.013240442544661266,0.9666097527997384,0.004272932169231819,0.19585759484244644,0.06776845110832246,0.19585759484244644,0.06776845110832244,1.4842835177879803,0.16756635822155275,0.10104820883590462,0.040364735629213354,-0.10104820883590464,0.040364735629213326,0.6866546536478548,0.12516898826666267,177.73047658602394,8.429462804420746,3.259413146972656,0.18680122208421235
5,learnable_seasonal_cdf_rz,Learnable polar-azimuth seasonal CDF,5,5,210,180,405,28.328942326579533,6.676505128477219,47.45123050189878,1.8656924384697795,55.918192838924895,1.4347539819388033,46.26411147703502,1.5212552455926152,0.5775497764231836,0.029562489292297777,0.6261890939249428,0.03047741437696372,0.4060669982543329,0.028238315470356486,0.32574250900570517,0.034617902150506176,-0.5938052312518163,5.314103751949321,0.5885425109549568,0.048073132916584924,0.972208194336561,0.004148716328750406,0.14846179248882999,0.04583823002055087,0.14846179248882999,0.045838230020550895,1.36709119797696,0.11334101851594916,0.06978383677302175,0.0337402791364713,-0.06978383677302175,0.033740279136471304,0.7836038782346586,0.10462688625391123,220.8515516344706,8.295881929567514,3.8619415283203127,0.2589318984712453
5,learnable_seasonal_cdf_rz,Learnable polar-azimuth seasonal CDF,6,5,252,216,483,28.781706017388842,4.190642890650738,46.8800249865134,1.6085296653970709,56.45659514592056,1.2097985891405139,46.87124076373706,1.5313372069926263,0.5644026767569261,0.02714722967947395,0.5968712419655817,0.03388033651124423,0.4082760997122593,0.06934545483507262,0.3128054095824063,0.029487764456008123,0.23281938675563807,2.850689604590926,0.6033839945256598,0.08264358916481403,0.9708937222509351,0.0032746856259473368,0.11489260196442894,0.03150233957326755,0.11489260196442899,0.03150233957326754,1.2840869841780034,0.0778936545165171,0.05954557406898756,0.030792294006891898,-0.05954557406898756,0.030792294006891898,0.8153522091550969,0.09548533459148521,257.0423756217957,6.003502308829198,4.7002006530761715,0.12489068447671889
