comparison,candidate_encoding,depth,seed,rmse_improvement_vs_ry,mae_improvement_vs_ry,pearson_improvement_vs_ry,kge_improvement_vs_ry,fft_improvement_vs_ry
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,6,43,0.37362542949350086,0.19806895143547365,0.043363628611640996,0.013473399582283996,-0.024908482945912774
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,6,44,-4.451792059791501,-2.448799117869328,-0.0674076825440685,0.17589578003907264,-0.09781372876659816
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,6,45,-0.3404888445982124,0.5231252723762267,-0.2204299179975897,-0.3663311997046148,-0.36123343840519895
ry_vs_same_scalar_rxryrz,same_scalar_rxryrz,6,46,-1.975406292628108,-3.7639393528515157,-0.1895961534242181,-0.429644924247316,-0.27191048019993325
ry_vs_seasonal_meridian,seasonal_meridian,1,42,6.600747159123209,4.796829544438296,0.17603820440004347,0.2578991881727783,0.013507246587765032
ry_vs_seasonal_meridian,seasonal_meridian,1,43,9.596221293381092,6.835143466681195,0.25485668662187544,0.3188919332257055,0.03672654795158081
ry_vs_seasonal_meridian,seasonal_meridian,1,44,6.130609877475095,4.944204322822678,0.15125332813903508,0.2514740147843231,0.024973158030482834
ry_vs_seasonal_meridian,seasonal_meridian,1,45,7.0175785024680195,5.98212353948206,0.19829938894634513,0.32940426812877033,0.020359924520303774
ry_vs_seasonal_meridian,seasonal_meridian,1,46,7.5296876435565,6.111071322637031,0.20118585038070985,0.2752492214163006,0.02986884464092443
ry_vs_seasonal_meridian,seasonal_meridian,2,42,6.998545193572426,4.169784308571508,0.1568260291362461,0.14547599295054792,0.10515810989983232
ry_vs_seasonal_meridian,seasonal_meridian,2,43,8.483427817644724,8.196196092934635,0.25186896868960623,0.3116798558580583,0.18668948895989512
ry_vs_seasonal_meridian,seasonal_meridian,2,44,5.2441976466509885,5.520491526726559,0.15732994627901814,0.027026518107742092,0.06693153093229476
ry_vs_seasonal_meridian,seasonal_meridian,2,45,1.8760857385300014,2.6136650740053042,0.08990966728085437,0.1733880106555644,0.009733735821470635
ry_vs_seasonal_meridian,seasonal_meridian,2,46,5.1916917920725325,5.805191980022926,0.14099079650804608,0.20315989399239479,0.00670111094885284
ry_vs_seasonal_meridian,seasonal_meridian,3,42,4.852752945092419,4.959626105356541,0.0918772172990916,-0.013885214440336802,0.2244240186693598
ry_vs_seasonal_meridian,seasonal_meridian,3,43,16.257092082131884,13.94652748385532,0.2924263445326071,0.1952668445746042,0.281843206837217
ry_vs_seasonal_meridian,seasonal_meridian,3,44,3.710463727095572,4.019836048516197,0.1219064797913601,0.17626337501683287,0.25611304003411917
ry_vs_seasonal_meridian,seasonal_meridian,3,45,9.948036121076747,11.284727979785742,0.3667571192868674,0.5094760457604937,0.6089004681410419
ry_vs_seasonal_meridian,seasonal_meridian,3,46,12.581107801383652,7.282572806777601,0.24250956829020287,0.0625185272058067,0.36494020433624075
ry_vs_seasonal_meridian,seasonal_meridian,4,42,12.158832226498767,9.97947086732431,0.3134121788024004,0.07776193570119111,0.05198085044508405
ry_vs_seasonal_meridian,seasonal_meridian,4,43,2.388970165670358,1.8445942795814716,0.0829461126552476,0.1297619618191613,0.06989415975469893
ry_vs_seasonal_meridian,seasonal_meridian,4,44,1.9550264968700972,4.098488193311695,0.10461502938236328,0.1795953242227382,0.026889186262738396
ry_vs_seasonal_meridian,seasonal_meridian,4,45,5.179154208366839,4.2637863007189765,0.14716999437467598,0.1286232838864874,0.030760435559790356
ry_vs_seasonal_meridian,seasonal_meridian,4,46,9.082328684797979,7.028347698687639,0.187172886062425,0.05543405415571662,0.1348690688536055
ry_vs_seasonal_meridian,seasonal_meridian,5,42,9.827536170229415,7.543014977766774,0.2555298570153596,0.18119013787973026,0.4589310120744057
ry_vs_seasonal_meridian,seasonal_meridian,5,43,3.089591207432221,1.7130226482620543,0.03648678711811609,-0.12032483485065319,0.30389892159551257
ry_vs_seasonal_meridian,seasonal_meridian,5,44,-0.5197815323362533,-0.5516902092217251,0.04366084152796179,0.1134458402977531,0.2101323183641517
ry_vs_seasonal_meridian,seasonal_meridian,5,45,2.4579607362126126,2.191905633345577,0.1080657559970298,0.1113350194802252,0.297773849404783
ry_vs_seasonal_meridian,seasonal_meridian,5,46,2.8588183591136413,2.900622214120446,0.08039198370018541,0.06255963831929551,0.2681645874115848
ry_vs_seasonal_meridian,seasonal_meridian,6,42,6.5466269272023325,7.776374314084364,0.5436501997943012,0.6942904810384007,0.7332221908291314
ry_vs_seasonal_meridian,seasonal_meridian,6,43,6.774473376741206,7.188572554603617,0.44301239206658155,0.4842982906104438,0.5039767315058358
ry_vs_seasonal_meridian,seasonal_meridian,6,44,3.2393306566082174,3.777679567175774,0.2395216677909783,0.4907025434488677,0.5928033538683204
ry_vs_seasonal_meridian,seasonal_meridian,6,45,4.389095690123234,7.4660726046452766,0.167035817450785,0.1418027093848332,0.2954661844489479
ry_vs_seasonal_meridian,seasonal_meridian,6,46,4.809771231160212,4.174238356577234,0.1776450691394892,0.02193873047971831,0.22600392071559583
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,1,42,6.444000620114281,6.476703956135445,0.19162781284292196,0.341155894650254,0.007518009962313665
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,1,43,7.440484834185973,6.150079524036222,0.236125984331799,0.3929844700021575,0.0335767162528926
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,1,44,6.717947067496944,4.0052031549335965,0.16535047485921178,0.281408686038788,0.036712914471177194
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,1,45,6.780557335566179,6.103933501552518,0.20971995240959518,0.3841418861431044,0.021285714480242746
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,1,46,6.7879500962560115,5.961996792651043,0.2110223723592955,0.36241301203101106,0.028179138023365247
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,2,42,18.038262304362704,15.43160903377214,0.3596271057443381,0.29275300902384316,0.09671124070880388
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,2,43,12.530940964238248,11.784975364050595,0.3331317337635213,0.40958584052450836,0.1923601590810019
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,2,44,9.672196205351412,11.205947769377929,0.22163246303558087,0.23399000622255628,0.06226748671819915
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,2,45,8.701191351982182,7.029351267246646,0.23234917918081532,0.2421864684985288,0.04602596960065419
ry_vs_learnable_seasonal_cdf,learnable_seasonal_cdf,2,46,8.378907601285235,7.886501284349819,0.20602122429143394,0.28923790842101094,0.004574553099063183
