encoding,depth,seed,seasonal_lag,center_fidelity,neighbor_geometric_mean_fidelity,neighbor_arithmetic_mean_fidelity,log10_seasonal_prominence,seasonal_prominence_ratio,seasonal_prominence_arithmetic_ratio
learnable_seasonal_cdf_rz,2,46,24,0.1601896739421196,0.0002551437397717301,0.0005057833281216944,2.797849600487543,627.8408950399365,316.71600275360805
learnable_seasonal_cdf_rz,2,46,36,0.0676570483268531,0.00022178831843373083,0.0005110420172081714,2.4843743787326154,305.0523526425882,132.39038288175277
learnable_seasonal_cdf_rz,3,42,12,0.0551139915858035,0.00024581747058746305,0.00043989450817187787,2.350649120030938,224.20697541997384,125.2891103706825
learnable_seasonal_cdf_rz,3,42,24,0.1130240513150362,0.00028024193256656095,0.0005204714015020647,2.6056377511604056,403.3088491787061,217.15708296143117
learnable_seasonal_cdf_rz,3,42,36,0.0527678435317125,0.00023619241400732907,0.0003655219760757227,2.34910340129127,223.41040779605706,144.36298495163788
learnable_seasonal_cdf_rz,3,43,12,0.0673019461787686,0.0002890876450493934,0.0005740172968311614,2.3669980916476083,232.80810277197898,117.24724420380045
learnable_seasonal_cdf_rz,3,43,24,0.1306187600188827,0.0002816694418608602,0.0005029364928838995,2.666265823421062,463.7306736433484,259.71223378502265
learnable_seasonal_cdf_rz,3,43,36,0.0505549324493524,0.00027346208941001285,0.00045778117139483207,2.266866406688246,184.86998530005866,110.43471337039598
learnable_seasonal_cdf_rz,3,44,12,0.0735124623613895,0.00034200154483474083,0.0008394966446578442,2.3323329022638015,214.94774942292025,87.56730932659197
learnable_seasonal_cdf_rz,3,44,24,0.1329652130731629,0.0003094053802720051,0.0007524454084273341,2.6332101724443095,429.7443469026632,176.71077739854897
learnable_seasonal_cdf_rz,3,44,36,0.0514120648691698,0.0002594410564552435,0.0005815631227551618,2.2970263427062303,198.16472215930452,88.40324095105028
learnable_seasonal_cdf_rz,3,45,12,0.0616380481157304,0.0006640622858052749,0.001322805424672275,1.967640061531907,92.81967886639586,46.5964585313076
learnable_seasonal_cdf_rz,3,45,24,0.1049312177570624,0.0005600720195829398,0.001300125559129425,2.272660836540557,187.35307976142056,80.70852620367316
learnable_seasonal_cdf_rz,3,45,36,0.0465678363459871,0.00037440907452432586,0.0006530999288496501,2.094739693876172,124.3768901839517,71.30277357097594
learnable_seasonal_cdf_rz,3,46,12,0.0629683898779537,0.0004109854404095956,0.0010810566568370441,2.1852961515830804,153.2131888059058,58.24707657985903
learnable_seasonal_cdf_rz,3,46,24,0.127044704703973,0.00045424616204214907,0.001156766681365236,2.4466653015101008,279.6825054785705,109.82742393136068
learnable_seasonal_cdf_rz,3,46,36,0.0550756800168083,0.0003427075251175212,0.0006837399142876511,2.2060362273653054,160.70753041656073,80.55062877847121
learnable_seasonal_cdf_rz,4,42,12,0.0215579290736485,0.00013877515604845774,0.00016493500657567602,2.1912953143912324,155.34429711699164,130.70560047394923
learnable_seasonal_cdf_rz,4,42,24,0.0519548303298499,0.0001450496052063174,0.00018960390270950295,2.5541093797899537,358.1866372952191,274.0177263621585
learnable_seasonal_cdf_rz,4,42,36,0.0152115176649707,0.00013741595968817157,0.00017302117506306057,2.0441353708718903,110.69687756421544,87.91708679256513
learnable_seasonal_cdf_rz,4,43,12,0.0331855730999008,0.00021434010546323852,0.000303618347705786,2.189845882047465,154.82670883351068,109.30028883517433
learnable_seasonal_cdf_rz,4,43,24,0.0695280174090929,0.0002805312550460002,0.0004087788164520912,2.394178590982881,247.84410349460714,170.08713419287852
learnable_seasonal_cdf_rz,4,43,36,0.0235525352942984,0.0002143489836802778,0.00027276869550235,2.040916234595504,109.87938869553628,86.34618151808952
