encoding,depth,seed,tau,n_pairs,mean_fidelity,std_fidelity_over_time,median_fidelity,min_fidelity,max_fidelity,mean_infidelity,mean_log_fidelity,geometric_mean_fidelity,mean_fidelity_over_haar,median_fidelity_over_haar
ry,1,43,12,93,0.0055234276221065,0.0253278014065818,0.0011050554671106,7.9832095692558e-07,0.2431467550228058,0.9944765723778936,-7.117241013000536,0.0008110012090788,90.49583816059354,18.10522877314057
ry,1,43,13,92,0.0065435732219249,0.0182433877585746,0.0001063876333171,7.834890742714962e-10,0.1230250147563844,0.993456426778075,-9.446242452268338,7.89858012812094e-05,107.20990366801904,1.7430549842677956
ry,1,43,14,91,0.0025147822372021,0.0113743123682229,3.823661624254661e-06,3.284669557030976e-11,0.0840799022091295,0.9974852177627976,-12.7782733104272,2.8214113755658024e-06,41.20219217432,0.0626468720517883
ry,1,43,15,90,5.3549148727234045e-05,0.0002053710101795,2.6928376066706933e-07,4.7545112239726935e-11,0.0016928431002705,0.9999464508512728,-14.704612631552491,4.11024656998539e-07,0.8773492527470026,0.0044119451347692
ry,1,43,16,89,9.319743644913126e-06,3.730079781317735e-05,1.7318808863939503e-08,2.981926346050569e-12,0.0002363953157059,0.9999906802563552,-17.86608261073335,1.7412410971980613e-08,0.1526946798782566,0.0002837513644267
ry,1,43,17,88,8.210132644551698e-07,3.1349787604666034e-06,2.6101634546827444e-10,1.6520259629779654e-16,2.3722851167269016e-05,0.9999991789867356,-22.18905751052903,2.308951255305737e-10,0.0134514813248335,4.276491804152208e-06
ry,1,43,18,87,4.957376296553796e-06,3.2522819331634044e-05,1.3800009454795352e-10,1.3611387506817796e-14,0.0002926018294484,0.9999950426237036,-22.25235075405758,2.1673390608861038e-10,0.0812216532427373,2.2609935490736705e-06
ry,1,43,19,86,1.0812435730036396e-06,7.573284186154213e-06,2.5701417989633616e-10,5.135438983532583e-18,7.014591301644553e-05,0.9999989187564268,-23.037686933620776,9.882337662741387e-11,0.0177150947000916,4.2109203234215725e-06
ry,1,43,20,85,2.858764145547112e-07,8.986377941704342e-07,4.927198761972892e-11,1.8750562799515743e-16,4.293455529597951e-06,0.9999997141235856,-23.62276051307003,5.5051031629591256e-11,0.0046837991760643,8.072722451616385e-07
ry,1,43,21,84,1.4517469727131254e-05,5.658931579058952e-05,1.5139245937392614e-07,2.8088378357156717e-14,0.0004643680282327,0.9999854825302732,-16.875568429712203,4.688498182562495e-08,0.2378542240093184,0.0024804140543824
ry,1,43,22,83,0.0007544702076434,0.0025270170752745,1.1768995371204312e-05,1.4049495962886716e-10,0.0164278190202252,0.9992455297923566,-11.61652213568498,9.015888612893091e-06,12.361239882030793,0.1928232201618114
ry,1,43,23,82,0.0084793665672493,0.0174445197319201,0.0005533074914982,5.513622075730434e-09,0.074452666049759,0.9915206334327504,-8.11340558899567,0.0002994971701615,138.92594183781353,9.065389940707634
ry,1,43,24,81,0.0223511628995061,0.0330510956183689,0.0035188448700135,1.7589351015641416e-05,0.1081337165789923,0.977648837100494,-5.973086748537975,0.0025463692739438,366.2014529455091,57.65275435030253
ry,1,43,25,80,0.0193171116654452,0.0433169698613565,0.0002134744462357,3.126917996998429e-09,0.202088689891051,0.9806828883345547,-8.609631203454654,0.0001823411447984,316.4915575266552,3.497565327127026
ry,1,43,26,79,0.0014156730794629,0.0034953657202131,3.82639584395352e-06,1.2297971376319396e-12,0.0199170267911911,0.9985843269205372,-13.14953689330919,1.9463847250395557e-06,23.19438773392134,0.0626916695073344
ry,1,43,27,78,0.0002397820125682,0.0009082188047341,2.964646939635016e-06,2.433378113332743e-16,0.005671791723565,0.9997602179874318,-15.792283742919476,1.3851548078845184e-07,3.928588493918036,0.04857277545898
ry,1,43,28,77,1.1468541937024272e-06,4.802638742844081e-06,4.002443941090519e-09,4.339616144159794e-13,3.1157699612124885e-05,0.9999988531458064,-19.67488141881577,2.853038076104713e-09,0.0187900591096205,6.557604153082706e-05
ry,1,43,29,76,9.84068422739888e-08,4.6587202532760483e-07,9.197868965249151e-10,5.859836595496224e-24,3.4253903432766563e-06,0.9999999015931578,-24.84072338504748,1.6285867885835077e-11,0.001612297703817,1.5069788512664213e-05
