encoding,depth,tau,n_seeds,mean_fidelity,sd_fidelity_across_seeds,mean_median_fidelity,sd_median_fidelity_across_seeds,mean_geometric_fidelity,mean_fidelity_over_haar,sd_fidelity_over_haar_across_seeds
learnable_seasonal_cdf_rz,4,4,5,7.818486109713782e-05,2.443907448049065e-05,4.625473734101721e-05,1.2971290522063688e-05,3.7177602393422965e-05,1.280980764215548,0.4004097962884451
learnable_seasonal_cdf_rz,4,5,5,0.00010754857708182655,2.546488676324514e-05,5.3208276013254945e-05,1.822729309208154e-05,5.1099379221557e-05,1.762075886909167,0.41721670472925787
learnable_seasonal_cdf_rz,4,6,5,0.0001714713030697573,8.01024875675863e-05,7.62179394079786e-05,3.6190888469996675e-05,6.671009213252575e-05,2.809385829495413,1.312399156307797
learnable_seasonal_cdf_rz,4,7,5,0.00012908265790668996,6.375095768500255e-05,6.000838323184087e-05,3.073572845918397e-05,5.4545723570524366e-05,2.1148902671438465,1.0444956907116403
learnable_seasonal_cdf_rz,4,8,5,7.621698995617918e-05,2.8579340562749034e-05,4.624985044723829e-05,1.5390937309446374e-05,3.59215803390795e-05,1.2487391634421978,0.4682439157803504
learnable_seasonal_cdf_rz,4,9,5,7.738144555289906e-05,2.7892586321456816e-05,3.939945637305019e-05,1.2500523282053668e-05,3.650279759962819e-05,1.2678176039388016,0.45699213429095387
learnable_seasonal_cdf_rz,4,10,5,8.009508964654558e-05,1.2125282733653945e-05,4.58897950258529e-05,6.680379591296934e-06,3.59091676315017e-05,1.3122779487690028,0.19866063230818629
learnable_seasonal_cdf_rz,4,11,5,0.00035232081185514,0.0001660017798008534,0.00012971666649900046,4.058059215041101e-05,0.00012019355568169734,5.772424181435435,2.719773160257371
learnable_seasonal_cdf_rz,4,12,5,0.02498778522927548,0.005271965990939135,0.01638541036677238,0.004440448457429505,0.01237090824944366,409.3998731964499,86.37589079554675
learnable_seasonal_cdf_rz,4,13,5,0.00031748341992228,0.00013139583800140394,0.00014669686216026,3.587677573659808e-05,0.0001298635662272832,5.201648352007437,2.1527894098146456
