encoding_order,encoding,encoding_label,depth,n_seeds,variational_parameter_count,encoding_parameter_count,total_parameter_count,train_rmse_original_mean,train_rmse_original_std,val_rmse_original_mean,val_rmse_original_std,test_rmse_original_mean,test_rmse_original_std,test_mae_original_mean,test_mae_original_std,test_pearson_corr_mean,test_pearson_corr_std,test_spearman_corr_mean,test_spearman_corr_std,test_kge_mean,test_kge_std,test_nse_mean,test_nse_std,test_bias_mean,test_bias_std,test_pred_std_over_true_std_mean,test_pred_std_over_true_std_std,test_fft_spectral_cosine_similarity_mean,test_fft_spectral_cosine_similarity_std,test_abs_12_step_band_error_mean,test_abs_12_step_band_error_std,test_signed_12_step_band_error_mean,test_signed_12_step_band_error_std,test_12_step_power_ratio_mean,test_12_step_power_ratio_std,test_abs_short_period_2_to_6_error_mean,test_abs_short_period_2_to_6_error_std,test_signed_short_period_2_to_6_error_mean,test_signed_short_period_2_to_6_error_std,test_short_period_2_to_6_power_ratio_mean,test_short_period_2_to_6_power_ratio_std,elapsed_time_min_mean,elapsed_time_min_std,max_rss_gb_python_mean,max_rss_gb_python_std,mean_fidelity,sd_fidelity_across_seeds,mean_median_fidelity,mean_geometric_fidelity,mean_fidelity_over_haar,sd_fidelity_over_haar_across_seeds
2,same_scalar_rxryrz,Same-scalar RxRyRz,5,5,210,0,225,55.55180514995175,8.07679120100841,66.81536527191489,1.6169130828357248,65.50243126748998,1.5948443898480575,55.31781663069809,2.336808065368422,0.2848007931280635,0.0918064816223573,0.2864503421107195,0.0688335997967364,-0.035675231342167,0.1665562807721161,0.0748511502863593,0.0454389380669799,-0.2752277366185036,2.885925534197994,0.2552734903155574,0.1621717529327491,0.6560581471821464,0.2445121560562664,0.2244245524827019,0.0776647129534575,-0.224424552482702,0.0776647129534575,0.4450809434183772,0.192036159881112,0.1425278190947256,0.134352789838381,0.1277039501237055,0.1518486831050319,1.3960034417535487,0.4708750283533653,205.57265895922976,8.05860026803967,3.7020133972167977,0.0160434263987757,6.772133286219715e-05,8.363721080384731e-06,4.731348740964816e-05,3.8691634919365875e-05,1.1095463176142382,0.13703120618102343
2,same_scalar_rxryrz,Same-scalar RxRyRz,6,5,252,0,267,56.784751105086016,14.038935833739876,68.37420167566847,0.7555279912582894,68.96840428037588,1.8491146134242864,59.69241910667802,0.943954045408318,0.0272358264394095,0.0541405976514767,0.0211071946921003,0.056981824794674,-0.3224070776902314,0.1174161530549469,-0.0257484921760132,0.0559535948655632,-0.5210206549579353,1.7938586767203002,0.1116434368034255,0.1643723467901239,0.2315633471498263,0.0740684919998982,0.3617069298078799,0.0188636201993709,-0.36170692980788,0.0188636201993709,0.1056323114936597,0.0466427679545258,0.3225716810208934,0.0781234510852995,0.3225716810208935,0.0781234510852995,2.0002783451315462,0.2422568407748948,228.14497447013852,16.83916491469937,4.116146087646484,0.7046162638653946,6.242978969054e-05,6.612239457820276e-06,4.20821033110868e-05,3.677950016722247e-05,1.0228496742898074,0.10833493127692742
3,seasonal_meridian,Fixed seasonal CDF,1,5,42,0,57,44.42433857735523,0.7204301732363158,47.67117688519259,0.7980363151860629,55.37092957585346,0.5772871240268812,45.38961728480697,0.7778479593026066,0.5867983473407021,0.0094605032932733,0.6190877047480822,0.0111941605778095,0.4498870160613578,0.0212246653930954,0.3391661991738412,0.0137478376663379,1.9119021153467108,2.207220662607935,0.6389493744251864,0.031710307030362,0.9616819396190436,0.002376260222379,0.2762803294933372,0.0231750335353169,0.2762803294933372,0.0231750335353169,1.6831392470140696,0.0573033012805352,0.1547175873672935,0.024787801355791,-0.1547175873672936,0.024787801355791,0.5202286457239321,0.0768657088593409,39.76715883413951,1.4801059108195245,0.8299514770507812,0.0084192384005209,0.15398935653737206,1.5639472591400866e-16,0.1495065649115165,0.13811668427741358,2522.961617508304,2.1690066237555257e-12
3,seasonal_meridian,Fixed seasonal CDF,2,5,84,0,99,40.59290154986543,3.3803367988280013,53.2353900482975,1.2470561225408228,58.71591575192067,2.250104498595225,49.03018449559012,1.9764046222553129,0.5228514581170373,0.0505725403150018,0.5563902135600248,0.0646995478534407,0.3563865449529865,0.0665008775722622,0.2561035849914724,0.0577164098337856,2.602034767071107,1.7500667822427347,0.5775522497901515,0.1022101318411227,0.9610142992791422,0.0151489368146838,0.15173365244671,0.1272520570251487,0.1325585734702636,0.1516813876933039,1.3277684091075292,0.3750520681833474,0.1030278201162645,0.052141228681143,-0.0795709259147949,0.0898482446244427,0.7532546135397403,0.2786148280638769,68.23524130026499,3.435293677203226,1.4237136840820312,0.0129641620868252,0.02956629629047896,0.001360973452201304,0.02159619014550884,0.0180852580521283,484.41419842320795,22.298189040866152
3,seasonal_meridian,Fixed seasonal CDF,3,5,126,0,141,42.45358020435344,5.68221308899332,55.37314623306609,2.3450958481138477,58.91241806787504,1.2473584793875274,49.21561919424272,1.7094828777216835,0.5039977770944986,0.032859797182055,0.5336678415923698,0.0277435148202973,0.2932351533926048,0.057299944301838,0.251726645432086,0.0315507763745431,0.5186309703393189,1.7374762122112388,0.4982109098524788,0.062329703703201,0.9571436923301864,0.0061546959401289,0.1085588451816045,0.0706060892040362,0.1085588451816046,0.0706060892040362,1.2684259421945812,0.1745827895236267,0.0653893311723203,0.0348885821358083,-0.0415705040846868,0.0663459527031044,0.8710919851968612,0.2057354184533597,98.80999764680864,1.4139662055753823,2.025731658935547,0.0194792699534861,0.00807868465720318,0.0010779156234832997,0.0036494697542233797,0.00271431712565612,132.36116942361753,17.660569575150724
3,seasonal_meridian,Fixed seasonal CDF,4,5,168,0,183,36.796660590646844,6.046168370091783,56.76309107914981,1.6589472309553697,60.680791918740965,2.2770850396561086,51.25690257829351,1.4944995160317391,0.4751395802587019,0.0643972335211176,0.4952228903172299,0.0433399202294406,0.2677383274369206,0.0203814934372066,0.2055212062630461,0.059451027369775,3.850666593899023,3.530951386848564,0.5013230038380342,0.0846318802800146,0.9505434604032792,0.023403552775534,0.0616227116417933,0.0495535108117444,-0.0043469000111097,0.0847267917883473,0.9892517212286492,0.2094980733892795,0.0548719979211711,0.0395605198077099,-0.0353182771788836,0.0613960832926409,0.8904798222287134,0.1903861256485924,129.8533774272601,2.593309798512098,2.621875762939453,0.0804301446197193,0.0024843116046603803,0.00018310959422157235,0.00070472261055946,0.00062139880748822,40.70296133075635,3.000067591726526
3,seasonal_meridian,Fixed seasonal CDF,5,5,210,0,225,35.955627721862,6.146011053806089,60.17801504648603,1.965006581362155,63.38840887905153,2.5659295841782948,53.74802419326352,2.228280110962097,0.3822333293810265,0.0639527179276115,0.3993116317644619,0.0740843348733489,0.1718344558299686,0.0754050229517611,0.1328794319755601,0.0704084575488685,-0.9280348207313864,3.968296116409506,0.4540234342245641,0.0836605578173639,0.8935437540696037,0.0444626844241496,0.1447520614321462,0.0436544356866755,-0.1447520614321462,0.0436544356866755,0.6420815972246932,0.1079413014256553,0.1346813049204657,0.0700934826083641,0.1346813049204657,0.0700934826083641,1.4176398634239524,0.2173563177217035,164.35690896193188,4.555996121846657,3.2849571228027346,0.0120815790747485,0.00099846115811766,0.00014688870597198873,0.00018683444877084002,0.00017702974655399998,16.358787614600466,2.406624558645007
3,seasonal_meridian,Fixed seasonal CDF,6,5,252,0,267,35.005589604122726,6.144422427791582,61.3280863923455,1.825101353359084,62.53801560901528,1.429132698546253,52.54816873091695,1.5300879599498571,0.4094823017362271,0.049041830388276,0.4061579929504457,0.0433962579915619,0.1482652921190537,0.0465882426785048,0.1567420388980432,0.0387469605060552,-0.118116849120672,1.3350722057326758,0.3914049825731667,0.0863977813216526,0.8495867645875617,0.0461609332993001,0.140828814625259,0.0226849777474713,-0.1408288146252591,0.0226849777474712,0.6517823380426234,0.0560915742548808,0.1015696652910334,0.0705794153876758,0.1015696652910335,0.0705794153876758,1.31496235624695,0.2188631705080259,196.39377381483715,5.400369159585754,3.9005447387695313,0.00828359319731,0.00048131908153648,7.800041243103541e-05,8.462984275133812e-05,8.210380755437688e-05,7.885931831894394,1.2779587572700604
4,learnable_seasonal_cdf,Learnable seasonal CDF,1,5,42,24,81,39.3667393520708,1.1153863693457953,46.72659727267616,2.1442753702578354,55.91171048033037,0.9327229325290376,45.38390833815746,0.611153169014932,0.5932409750036649,0.0108357668103864,0.6359672403068629,0.0036045583691663,0.5157240806888452,0.0115260672172332,0.3261036713259547,0.0222918420350317,3.1520570741669784,1.6782615377363916,0.7417623333598001,0.0307637856488405,0.9620492939108306,0.0069736047824421,0.2619626074102482,0.0398759551775276,0.2619626074102483,0.0398759551775276,1.6477368066711937,0.0985985142116315,0.1194709324938816,0.0324348542444028,-0.1194709324938816,0.0324348542444028,0.6295267263757038,0.1005788301858797,42.184954882462826,2.5136655341170075,1.1913116455078123,0.0187841789106409,0.46996981378397507,0.06477997877251326,0.456180098078616,0.4522609889159187,7699.985429036649,1061.3551722088573
4,learnable_seasonal_cdf,Learnable seasonal CDF,2,5,84,48,147,36.78574516634008,2.435671159921895,45.8453287383407,1.5011629414587426,52.81040570417084,2.5541895627505906,43.62357334828288,2.630661852447557,0.6340187177414209,0.0438748881353159,0.6749740825212523,0.0366319724026456,0.4777911371782146,0.0518106077886236,0.3977985111274552,0.0570825950981033,0.0199259380477018,3.664679803349252,0.6318545143807659,0.0546760816711998,0.9663593858082176,0.0056187621324782,0.249804044255281,0.0550287392458481,0.249804044255281,0.0550287392458481,1.6176731691560309,0.1360657545236091,0.1164924630727382,0.032861017412953,-0.1164924630727382,0.032861017412953,0.6387628082728414,0.1019003404549904,76.39849481741587,1.3985138372714556,1.9320846557617184,0.0061537100820672,0.10461565571668505,0.0372501856545452,0.09505321819381846,0.08726062043911537,1714.022903262169,610.3070417640683
