encoding,depth,seed,pair_index,target_index_t,target_index_t_plus_12,epsilon,delta_norm,exact_fidelity_tau12,exact_infidelity_tau12,D_state_derivative,D_fidelity_curvature,relative_method_difference
ry,6,42,31,465,477,0.0003,1.3459454543930762,5.1262011858011777e-05,0.999948737988142,27.171427768738198,27.171460412509266,1.201400653121198e-06
ry,6,42,37,471,483,0.01,1.272580152507335,2.151022620197163e-05,0.999978489773798,25.097151211391346,25.12662527612619,0.0011743988186781733
ry,6,42,37,471,483,0.003,1.272580152507335,2.151022620197163e-05,0.999978489773798,25.1527444494936,25.155402953533663,0.00010569439233168115
ry,6,42,37,471,483,0.001,1.272580152507335,2.151022620197163e-05,0.999978489773798,25.15763950388074,25.157934955943873,1.1744029605231118e-05
ry,6,42,37,471,483,0.0003,1.272580152507335,2.151022620197163e-05,0.999978489773798,25.158196395613125,25.158223068391358,1.060202321890469e-06
ry,6,42,43,477,489,0.01,1.5383478635392358,1.2025016456488694e-05,0.9999879749835435,33.44336019686562,33.49824855421124,0.001641233327707372
ry,6,42,43,477,489,0.003,1.5383478635392358,1.2025016456488694e-05,0.9999879749835435,33.54395431359729,33.54890871774356,0.00014769886996476823
ry,6,42,43,477,489,0.001,1.5383478635392358,1.2025016456488694e-05,0.9999879749835435,33.552816552701024,33.55336718802171,1.6411001437705463e-05
ry,6,42,43,477,489,0.0003,1.5383478635392358,1.2025016456488694e-05,0.9999879749835435,33.5538248251699,33.55387443202161,1.4784261397715976e-06
ry,6,42,49,483,495,0.01,1.5100416409312531,4.9516652745908864e-05,0.9999504833472541,33.01612907572613,33.067454959593846,0.0015545700027400939
ry,6,42,49,483,495,0.003,1.5100416409312531,4.9516652745908864e-05,0.9999504833472541,33.11178614661586,33.116418566718025,0.0001399024529105738
ry,6,42,49,483,495,0.001,1.5100416409312531,4.9516652745908864e-05,0.9999504833472541,33.120212769513834,33.120727612634404,1.554468034829793e-05
ry,6,42,49,483,495,0.0003,1.5100416409312531,4.9516652745908864e-05,0.9999504833472541,33.12117147432338,33.12121784430448,1.4000102965938565e-06
ry,6,42,55,489,501,0.01,1.5600250539679665,2.0163865624614048e-05,0.9999798361343754,34.25324376314437,34.3144065978479,0.0017856070837104297
ry,6,42,55,489,501,0.003,1.5600250539679665,2.0163865624614048e-05,0.9999798361343754,34.36162616628259,34.367147925256575,0.00016069550804327849
ry,6,42,55,489,501,0.001,1.5600250539679665,2.0163865624614048e-05,0.9999798361343754,34.371175902013015,34.37178959930787,1.785499851974973e-05
ry,6,42,55,489,501,0.0003,1.5600250539679665,2.0163865624614048e-05,0.9999798361343754,34.37226240607867,34.372317640905976,1.6069593166421078e-06
ry,6,42,61,495,507,0.01,1.353714410375554,0.00011991474848139393,0.9998800852515186,28.866369634466043,28.906005650209398,0.0013730862676971335
ry,6,42,61,495,507,0.003,1.353714410375554,0.00011991474848139393,0.9998800852515186,28.940136666230288,28.943712593105303,0.00012356288832554804
